precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PSD-PRO BUZĂU-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi"
10,BUZĂU,"GRADINITA PN PIETROIU",176,BUDA,45673,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:42:38",352,337,0,10,5,337,322,0,10,5,277,60,578,241,138,99,3,27,10
10,BUZĂU,"GRĂDINITA POD VINETIS - VECHE",112,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:39:11",501,486,0,8,7,335,320,0,8,7,309,26,550,215,190,51,7,47,14
10,BUZĂU,"GRĂDINIŢA PROSCA",296,NĂENI,47854,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:04:59",185,172,0,10,3,129,116,0,10,3,111,18,195,66,30,63,5,10,3
10,BUZĂU,"GRĂDINIŢA SĂTUC",148,BERCA,45101,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:55",547,535,0,12,0,290,278,0,12,0,261,29,600,310,179,21,9,36,16
10,BUZĂU,"GRUP SCOLAR TEHNIC NEHOIU STR. SCOLII",103,"ORAŞ NEHOIU",47916,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 19:39:14",599,577,1,9,12,599,577,1,9,12,552,47,1100,501,220,114,21,149,48
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”I.BALAŞ- SÖTER ”",70,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:09",1297,1287,0,10,0,437,427,0,10,0,424,13,1413,976,284,24,12,59,45
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”I.BALAŞ- SÖTER ”",71,"MUNICIPIUL BUZĂU",44818,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:29:12",1086,1074,0,12,0,374,362,0,12,0,352,22,1182,808,225,27,16,56,28
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”I.BALAŞ-SÖTER”",69,"MUNICIPIUL BUZĂU",44818,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:52:36",930,920,0,10,0,292,282,0,10,0,272,20,1025,733,182,19,13,30,28
10,BUZĂU,"LICEUL DE ARTE ”MARGARETA STERIAN”",32,"MUNICIPIUL BUZĂU",44818,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 18:02:23",1482,1472,0,7,3,571,561,0,7,3,545,26,1618,1047,314,43,20,103,65
10,BUZĂU,"LICEUL ECONOMIC ”ELINA MATEI BASARAB”",101,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:49:09",1524,1510,1,13,0,605,592,0,13,0,587,18,1668,1062,329,57,16,134,51
10,BUZĂU,"LICEUL TEHNOLOGIC ”COSTIN NENIŢESCU”",75,"MUNICIPIUL BUZĂU",44818,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:08:25",1821,1812,0,9,0,522,513,0,9,0,479,43,2005,1483,298,45,29,69,38
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",38,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:21:42",1548,1536,1,11,0,487,476,0,11,0,461,26,1693,1206,336,16,23,50,36
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",37,"MUNICIPIUL BUZĂU",44818,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:41:48",1402,1394,2,6,0,541,535,0,6,0,497,44,1555,1014,339,22,33,52,51
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",9,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:45",1389,1380,1,8,0,501,493,0,8,0,482,19,1553,1052,313,26,20,72,51
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",8,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:35",1597,1587,2,8,0,622,614,0,8,0,592,30,1786,1164,384,42,20,85,61
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",10,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:18",1250,1238,1,11,0,470,459,0,11,0,453,17,1387,917,280,33,13,77,50
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",11,"MUNICIPIUL BUZĂU",44818,6,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 17:28:39",1430,1417,0,13,0,509,496,0,13,0,489,20,1587,1078,311,29,22,70,57
