precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL VERDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi"
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",57,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:30:00",1541,1520,8,11,2,704,690,1,11,2,691,13,1680,976,49,374,45,85,35,12,8,13,36,8,26
28,MUREŞ,"CENTRUL SOCIAL VICTORIA",146,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:19",1089,1073,3,12,1,386,371,2,12,1,362,24,1180,794,82,28,9,131,44,32,11,13,9,3,0
28,MUREŞ,"CLĂDIREA BAZEI SPORTIVE ISLA",421,HODOŞA,117505,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:18:07",223,223,0,0,0,89,89,0,0,0,73,16,240,151,1,66,0,3,2,0,0,0,1,0,0
28,MUREŞ,"CLĂDIREA SPAŢIU COMERCIAL BEDENI",377,GĂLEŞTI,116867,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:03:36",123,114,1,3,5,52,44,0,3,5,47,5,130,78,0,45,0,0,0,2,0,0,0,0,0
28,MUREŞ,"CLUB-CĂMIN CULTURAL",292,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:08:11",1064,1022,1,5,36,458,417,0,5,36,450,8,1120,662,7,418,1,15,1,3,0,0,1,0,4
28,MUREŞ,"CLUB CĂMIN CULTURAL OGRA",466,OGRA,118575,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:21:23",1340,1326,0,3,11,795,781,0,3,11,545,250,1450,655,180,172,59,88,18,5,6,4,4,4,5
28,MUREŞ,"CLUBUL COPIILOR",87,"MUNICIPIUL REGHIN",114809,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:12:34",1397,1382,0,15,0,715,700,0,15,0,680,35,1530,815,102,173,36,219,25,16,23,43,32,6,5
28,MUREŞ,"CLUBUL PENSIONARILOR NR. 2",145,"MUNICIPIUL TÂRNĂVENI",114925,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:45:03",1156,1145,1,10,0,376,366,0,10,0,361,15,1271,895,79,37,7,120,41,30,6,20,15,5,1
28,MUREŞ,"CLUBUL TINERETULUI",341,DANEŞ,116493,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:23:36",996,987,0,6,3,518,509,0,6,3,452,66,1090,572,116,7,37,211,5,13,4,37,9,9,4
28,MUREŞ,"CLUBUL TINERETULUI ȘĂULIA",539,ŞĂULIA,119750,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:07",266,257,0,6,3,178,169,0,6,3,153,25,283,105,79,6,1,57,0,3,0,2,1,4,0
28,MUREŞ,"COLEGIUL AGRICOL ”TRAIAN SAVULESCU”",13,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:27:46",1575,1542,15,14,4,720,702,0,14,4,703,15,1700,982,64,352,37,76,29,10,7,30,62,7,29
28,MUREŞ,"COLEGIUL NAŢIONAL ”UNIREA”",32,"MUNICIPIUL TÂRGU MUREŞ",114319,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:31:36",1625,1606,1,15,3,894,875,1,15,3,878,16,1770,876,60,429,47,177,34,6,10,25,59,3,28
28,MUREŞ,"COLEGIUL TEHNIC",139,"MUNICIPIUL TÂRNĂVENI",114925,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:27",944,934,1,9,0,339,330,0,9,0,322,17,1030,691,45,61,11,93,20,40,15,21,11,3,2
28,MUREŞ,"CONSILIUL LOCAL ŞINCAI",540,ŞINCAI,119803,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:11",892,854,0,12,26,531,493,0,12,26,469,62,936,405,122,219,15,77,19,3,2,1,5,4,2
28,MUREŞ,"FOSTA ŞCOALĂ GENERALĂ GIULUŞ",468,OGRA,118575,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:31",66,59,0,6,1,66,59,0,6,1,59,7,110,44,11,2,5,33,2,5,0,0,0,1,0
28,MUREŞ,"FOSTA ŞCOALĂ GENERALĂ LUIERIU",537,SUSENI,119723,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:55:18",519,507,1,10,1,330,319,0,10,1,307,23,560,230,135,7,2,144,1,11,0,1,1,3,2
28,MUREŞ,"FOSTA SCOALA PRIMARA",494,RUŞII-MUNŢI,119153,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:39",323,316,1,6,0,209,203,0,6,0,196,13,350,141,102,4,10,54,7,6,1,3,3,5,1
28,MUREŞ,"FOSTA SCOALA PRIMARA COMORI",410,GURGHIU,117319,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:44:40",157,151,0,6,0,82,76,0,6,0,73,9,160,78,17,4,0,47,0,1,0,1,2,1,0
28,MUREŞ,"FOSTA SCOALA PRIMARA DELENI",431,"IDECIU DE JOS",117783,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:51:26",214,201,0,8,5,164,151,0,8,5,150,14,230,66,38,3,3,61,10,5,4,5,1,19,1
28,MUREŞ,"FOSTA ȘCOALA PRIMARA SATU -NOU",521,"SÂNPETRU DE CÂMPIE",119527,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:11:11",163,155,0,5,3,120,112,0,5,3,106,3,170,61,16,5,26,15,26,3,0,0,15,0,0
28,MUREŞ,"FOSTUL CĂMIN CULTURAL SÎNCRAIU DE MUREŞ",501,"SÂNCRAIU DE MUREŞ",114382,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:20:08",1858,1849,1,4,4,732,724,0,4,4,661,71,2030,1298,129,245,22,136,26,21,5,39,20,14,4
28,MUREŞ,"FOSTUL SEDIU AL POSTEI ROMANE",481,PETELEA,118799,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:45",1123,1109,0,7,7,661,647,0,7,7,497,164,1230,569,142,20,21,215,49,11,7,5,6,20,1
28,MUREŞ,"GRĂDINIȚA BERGHIA",474,PĂNET,118691,7,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:14:56",989,983,2,4,0,353,349,0,4,0,330,23,1080,727,12,268,4,22,3,4,0,2,4,5,6
28,MUREŞ,"GRĂDINIŢA ”CĂSUŢA FERMECATĂ” - LUDUȘ",169,"ORAŞ LUDUŞ",114710,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:01:13",1365,1357,3,5,0,526,520,1,5,0,509,17,1490,964,232,80,35,92,9,5,4,23,1,27,1
28,MUREŞ,"GRĂDINIŢA CU PROG.PREL.”RÂNDUNICA”",76,"MUNICIPIUL TÂRGU MUREŞ",114319,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:11:03",1651,1635,2,14,0,729,715,0,14,0,703,26,1800,1071,75,355,54,87,24,12,7,26,30,8,25
28,MUREŞ,"GRADINITA CU PROGRAM NORMAL",402,GORNEŞTI,117177,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:43",820,805,0,6,9,403,388,0,6,9,363,40,880,477,42,198,2,30,5,75,2,1,4,2,2
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL APOLD",231,APOLD,115183,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:37:25",849,829,2,9,9,457,437,2,9,9,393,64,904,447,73,10,9,264,12,14,2,2,5,1,1
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL ARCHITA",556,VÂNĂTORI,120254,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:52:26",717,712,1,4,0,344,340,0,4,0,306,38,780,436,33,6,128,98,13,5,4,9,4,5,1
