precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DECINDENI-DRAGOMIREŞTI",240,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:24:05",1022,1018,0,4,0,593,589,0,4,0,553,40,1120,527,127,8,378,3,16,6,2,0,13,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DONICI ELENA CANTACUZINO” PUCIOASA",108,"ORAŞ PUCIOASA",65921,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 14:19:50",1318,1307,0,9,2,560,549,0,9,2,526,34,1440,880,176,6,231,29,23,8,5,4,43,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DORA DALLES” BUCȘANI",160,BUCŞANI,66474,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:21:06",1453,1440,0,3,10,874,861,0,3,10,820,51,1600,729,371,36,332,5,59,7,0,2,8,0
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”DORA DALLES” BUCȘANI",159,BUCŞANI,66474,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:08:07",1492,1467,0,6,19,887,862,0,6,19,834,53,1643,756,311,18,405,16,47,17,3,7,9,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRĂGĂEŞTI-PĂMÂNTENI",292,MĂNEŞTI,68002,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:20:55",1816,1808,0,1,7,985,977,0,1,7,895,90,1995,1010,171,71,584,13,33,6,4,5,8,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRĂGĂEŞTI-UNGURENI",291,MĂNEŞTI,68002,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:25:34",1088,1084,0,2,2,632,628,0,2,2,596,36,1200,568,142,13,372,6,35,4,2,2,20,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ DRAGOMIREŞTI",238,DRAGOMIREŞTI,67407,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:14:04",1801,1785,5,11,0,976,965,0,11,0,893,83,1970,994,319,36,447,9,56,8,1,3,13,1
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ FIERBINȚI",377,ŞELARU,68887,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:25:00",1238,1210,0,28,0,930,902,0,28,0,853,77,1320,390,112,11,179,10,527,3,0,7,4,0
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FÎNTÎNELE",184,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:36",1194,1026,1,166,1,739,571,1,166,1,665,74,1127,388,19,4,637,2,1,1,0,0,0,1
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ FÎNTÎNELE",185,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:55:52",998,915,0,80,3,548,465,0,80,3,490,58,1000,452,23,8,452,1,2,0,4,0,0,0
