precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","BĂLAN LUCIAN-DANIEL-voturi"
38,TULCEA,"CĂMINUL CULTURAL",138,JURILOVCA,160644,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:44:18",1044,1034,1,8,1,586,577,0,8,1,552,34,1143,557,3,16,413,5,100,2,1,3,4,4,1
38,TULCEA,"CĂMINUL CULTURAL",137,JIJILA,160617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:02:58",1067,1062,0,3,2,455,450,0,3,2,404,51,1175,720,72,7,129,11,159,14,4,1,6,1,0
38,TULCEA,"CĂMINUL CULTURAL",136,JIJILA,160617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:53:32",1631,1625,0,2,4,870,864,0,2,4,804,66,1793,923,27,15,271,4,407,49,2,3,20,4,2
38,TULCEA,"CĂMINUL CULTURAL",135,JIJILA,160617,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:44:31",1832,1820,0,4,8,931,919,0,4,8,868,63,1990,1059,19,21,250,7,476,59,1,2,23,3,7
38,TULCEA,"CĂMINUL CULTURAL",131,I.C.BRĂTIANU,161525,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:49:36",1012,954,0,53,5,702,644,0,53,5,642,60,1043,341,15,110,107,23,194,27,99,4,56,1,6
38,TULCEA,"CĂMINUL CULTURAL",99,CEATALCHIOI,160047,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:52",394,378,0,13,3,266,250,0,13,3,236,30,417,151,2,4,101,10,108,2,1,2,3,0,3
38,TULCEA,"CĂMINUL CULTURAL AGIGHIOL",201,"VALEA NUCARILOR",161482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:31:24",1411,1393,5,9,4,726,712,1,9,4,650,76,1518,792,43,25,201,204,142,4,2,3,13,6,7
38,TULCEA,"CĂMINUL CULTURAL GRECI",121,GRECI,160430,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:38",1521,1508,0,8,5,661,648,0,8,5,613,48,1657,996,34,13,201,15,314,9,2,3,5,8,9
38,TULCEA,"CĂMINUL CULTURAL JURILOVCA",141,JURILOVCA,160644,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:45:38",1062,1061,0,1,0,467,466,0,1,0,431,36,1165,698,12,12,307,7,66,17,0,1,3,3,3
38,TULCEA,"CASA DE CULTURĂ",42,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:45:57",1453,1447,0,6,0,575,569,0,6,0,556,19,1599,1024,20,22,164,35,213,33,16,2,31,4,16
38,TULCEA,"CASA DE CULTURĂ",43,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:49:39",536,530,0,6,0,190,184,0,6,0,186,4,587,397,7,4,56,9,71,7,3,3,18,2,6
38,TULCEA,"CASA DE CULTURĂ PAUL BARBĂNEAGRĂ",60,"ORAŞ ISACCEA",159687,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:28:31",1315,1299,1,4,11,649,634,0,4,11,617,32,1447,798,16,52,160,89,171,95,2,5,7,16,4
38,TULCEA,"CENTRUL CULTURAL ADMINISTRATIV SOCIAL",170,NUFĂRU,161053,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:44",1078,1049,3,15,11,631,605,0,15,11,588,43,1131,500,13,27,270,39,187,13,9,4,15,2,9
38,TULCEA,"CENTRUL SOCIAL DE ZI PENTRU PERSOANE DEFAVORIZATE",124,GRINDU,160458,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:56:41",1231,1115,0,48,68,754,638,0,48,68,693,61,1200,446,66,30,76,108,399,4,3,1,5,1,0
