precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REPUBLICAN DIN ROMÂNIA-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL FORTA NATIONALA-voturi","PARTIDUL VERDE-voturi","FANCSALI ERNŐ-voturi"
13,CLUJ,"ȘCOALA SUCEAGU",329,BACIU,55838,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:52:38",1175,1149,1,7,18,620,594,1,7,18,560,60,1261,641,30,3,203,273,13,7,15,0,5,3,1,1,2,2,2
13,CLUJ,"ŞCOALA ”TRAIAN DARJAN”",183,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:24:40",1447,1435,7,5,0,509,504,0,5,0,502,7,1612,1103,47,10,75,277,8,10,48,1,10,2,1,5,4,3,1
13,CLUJ,"ŞCOALA ”TRAIAN DARJAN”",180,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:43",1677,1665,1,11,0,573,562,0,11,0,554,19,1856,1283,48,16,33,353,12,6,57,0,13,1,1,6,1,7,0
13,CLUJ,"ŞCOALA ”TRAIAN DARJAN”",181,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:57:11",1957,1934,7,16,0,756,740,0,16,0,724,32,2189,1433,67,26,64,424,19,9,84,1,9,2,2,5,3,9,0
13,CLUJ,"ŞCOALA ”TRAIAN DARJAN”",182,"MUNICIPIUL CLUJ-NAPOCA",54975,8,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:32:18",1802,1787,5,9,1,664,654,0,9,1,651,13,2037,1373,44,15,63,408,9,7,77,0,8,3,3,5,0,8,1
13,CLUJ,"ŞCOALA TRANIŞU",585,POIENI,59041,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:02",290,283,0,7,0,153,146,0,7,0,134,19,313,160,15,6,0,82,22,1,4,0,0,0,0,0,0,4,0
13,CLUJ,"ȘCOALA VALEA GROȘILOR",653,VAD,59942,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:49:24",224,191,0,19,14,144,111,0,19,14,136,8,224,80,17,4,1,89,0,9,3,1,10,0,0,0,0,2,0
13,CLUJ,"ŞCOAL GEN. MUNCEL",392,CÂŢCĂU,57314,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:30",200,180,0,12,8,122,102,0,12,8,117,5,204,82,36,1,0,71,3,2,3,0,0,0,0,0,0,1,0
13,CLUJ,"ŞCOLA CU CLASELE I-IV DÎNGĂUL MARE",380,"CĂPUŞU MARE",56568,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:35:06",409,377,0,18,14,245,213,0,18,14,222,23,416,171,19,13,2,135,33,3,1,1,4,1,2,5,0,3,0
13,CLUJ,"SCOLA GENERALA BABDIU",342,BOBÂLNA,56096,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:09",135,125,1,8,1,68,58,1,8,1,63,5,140,72,29,3,1,4,4,20,1,0,0,0,0,1,0,0,0
