precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL SOCIALIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","MILITARU IONEL-voturi"
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",25,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:35",860,851,0,9,0,286,277,0,9,0,277,9,840,554,8,68,80,12,10,0,44,4,5,1,39,5,1
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",24,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:07:07",853,843,0,10,0,297,287,0,10,0,287,10,940,643,10,101,68,3,5,1,30,4,6,1,38,10,10
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",23,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:02:14",1012,999,2,10,1,342,331,0,10,1,334,8,1120,778,11,104,91,7,8,1,56,0,3,1,35,5,12
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ IONESCU CHEIANU",119,"ORAŞ BĂILE OLĂNEŞTI",167696,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:34",907,897,0,4,6,506,496,0,4,6,463,43,1000,494,11,242,98,6,9,4,34,5,4,6,38,3,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ JIBLEA VECHE",143,"ORAŞ CĂLIMĂNEŞTI",167909,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:57:41",995,987,0,8,0,419,411,0,8,0,361,58,1090,671,6,84,109,10,7,15,25,49,0,5,42,5,4
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ JIBLEA VECHE",144,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:23",989,981,0,8,0,409,401,0,8,0,391,18,1080,671,6,114,169,6,4,3,26,23,6,5,19,8,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ LĂUNELE DE JOS",211,DĂNICEI,169404,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:41:31",347,340,0,5,2,255,248,0,5,2,235,20,380,125,3,75,78,6,0,0,4,0,14,1,53,0,1
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MALAIA",280,MALAIA,171021,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:21:09",868,798,0,38,32,691,621,0,38,32,662,29,980,289,19,307,217,28,10,1,61,2,0,2,2,3,10
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MATEEŞTI",283,MATEEŞTI,171067,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:03",1116,1061,3,17,35,699,646,1,17,35,652,47,1220,521,4,366,128,5,34,4,22,26,19,3,36,3,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MOLOGEŞTI",261,LALOŞU,170612,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:45:05",577,518,1,54,4,424,366,0,54,4,402,22,570,146,14,225,136,4,1,1,15,0,1,0,1,4,0
