precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
5,BIHOR,"ȘCOALA BUCIUM",320,CEICA,28335,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:48",182,172,1,4,5,125,116,0,4,5,114,11,199,74,53,3,0,0,50,2,2,0,4
5,BIHOR,"ȘCOALA CORBEȘTI",322,CEICA,28335,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:49",404,374,0,30,0,264,234,0,30,0,231,33,413,149,143,2,3,2,65,1,12,0,3
5,BIHOR,"ȘCOALA COTIGLET",323,CEICA,28335,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:22",324,307,0,15,2,209,192,0,15,2,188,21,353,144,103,2,0,2,68,7,4,0,2
5,BIHOR,"SCOALA CU CLASELE I-IV",613,TĂRCAIA,31609,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:11:54",174,151,0,12,11,147,124,0,12,11,143,4,184,37,44,4,0,4,87,2,1,0,1
5,BIHOR,"ŞCOALA CU CLASELE I-IV",256,BOROD,27560,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:46:27",519,508,0,9,2,332,321,0,9,2,312,20,564,232,190,1,0,0,113,4,3,0,1
5,BIHOR,"ŞCOALA CU CLASELE I-IV",393,DRĂGEŞTI,29341,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:55",226,159,0,54,13,192,125,0,54,13,184,8,204,12,105,2,1,1,42,2,31,0,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",476,PALEU,32161,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:07:08",1486,1425,12,41,8,895,846,0,41,8,883,12,1575,680,525,227,4,11,40,6,16,34,20
5,BIHOR,"ȘCOALA CU CLASELE I-IV",477,PALEU,32161,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:28:01",440,375,0,38,27,336,271,0,38,27,319,17,455,119,37,265,1,1,6,0,0,9,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",259,BOROD,27560,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:15",377,369,0,8,0,272,264,0,8,0,255,17,411,139,152,2,3,1,86,9,1,1,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",260,BOROD,27560,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:13",107,96,0,11,0,61,50,0,11,0,55,6,107,46,35,2,8,0,9,1,0,0,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",195,"ORAŞ SĂCUENI",30915,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:07:46",1162,1146,0,10,6,562,546,0,10,6,504,58,1264,702,71,309,4,80,3,4,29,4,0
5,BIHOR,"ȘCOALA CU CLASELE I-IV",429,"LAZURI DE BEIUŞ",29760,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:48:01",378,365,0,12,1,244,231,0,12,1,230,14,398,154,166,1,1,1,26,9,3,0,23
5,BIHOR,"ȘCOALA CU CLASELE I-IV",478,PALEU,32161,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:17:20",833,785,2,27,19,508,463,0,27,18,468,40,888,380,168,257,2,2,9,0,0,25,5
5,BIHOR,"ȘCOALA CU CLASELE I-IV",416,HOLOD,29573,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:48",92,69,0,23,0,60,37,0,23,0,57,3,74,14,43,1,0,2,10,0,1,0,0
5,BIHOR,"SCOALA CU CLASELE I-IV APATEU , LOC. APATEU NR 41",460,NOJORID,30149,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:28:37",283,276,0,7,0,145,138,0,7,0,141,4,303,158,111,0,5,3,10,6,2,0,4
