precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
21,HARGHITA,"S.C. GOSCOM S.A MIERCUREA-CIUC",11,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:01",1562,1545,6,11,0,475,464,0,11,0,460,15,1700,1225,24,16,342,9,1,17,42,9
21,HARGHITA,"ȘCOALA GENERALA ”BALÁS JENŐ”",221,REMETEA,85412,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:11:12",1151,1097,3,0,51,619,568,0,0,51,571,48,1300,681,5,21,525,2,0,3,15,0
21,HARGHITA,"ȘCOALA GENERALÂ DÂRJIU JÁNOS ZSIGMOND",128,DÂRJIU,84380,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:21:54",522,521,1,0,0,166,166,0,0,0,146,20,590,424,6,8,118,1,0,2,11,0
21,HARGHITA,"ȘCOALA GENERALĂ DIN MUJNA",129,DÂRJIU,84380,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:19:02",288,287,1,0,0,110,110,0,0,0,92,18,300,190,1,6,83,0,0,1,0,1
21,HARGHITA,"ŞCOALA GENERALĂ FORŢENI",141,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:48:03",456,443,4,5,4,286,274,3,5,4,256,30,500,214,11,12,217,3,0,9,3,1
21,HARGHITA,"ŞCOALA GENERALĂ HOGHIA",140,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:00:08",238,233,0,4,1,131,126,0,4,1,123,8,296,165,6,1,80,0,0,7,28,1
21,HARGHITA,"ŞCOALA GENERALĂ POLONIŢA",142,FELICENI,83197,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:08:21",299,295,1,3,0,150,147,0,3,0,141,9,300,150,4,8,89,1,1,6,32,0
21,HARGHITA,"ŞCOALA GENERALĂ TĂURENI",139,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:36",602,600,0,1,1,308,306,0,1,1,287,21,680,372,7,6,178,1,2,17,75,1
21,HARGHITA,"ŞCOALA GENERALĂ TELEAC",143,FELICENI,83197,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:47",185,181,1,3,0,99,96,0,3,0,90,9,200,101,5,3,67,1,0,3,10,1
21,HARGHITA,"SCOALA GIMNAZIALA",194,MIHĂILENI,85074,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:05:00",422,417,0,4,1,127,122,0,4,1,118,9,481,354,43,18,15,3,10,1,24,4
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” CĂLIMĂNEL",65,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:56",995,987,0,8,0,369,361,0,8,0,335,34,1100,731,149,133,5,20,12,10,0,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” VALE",61,"MUNICIPIUL TOPLIŢA",83632,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:41:57",1573,1565,0,8,0,709,701,0,8,0,651,58,1700,991,266,291,30,20,17,11,2,14
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ARANY JÁNOS” SÂNTIMBRU",246,SÂNTIMBRU,86519,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:07",979,971,0,4,4,437,429,0,4,4,412,25,1100,663,6,12,350,1,0,14,28,1
21,HARGHITA,"SCOALA GIMNAZIALĂ ”BENEDEK FIDEL” BISERICANI",175,LUPENI,84825,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:41:55",610,596,0,14,0,356,342,0,14,0,341,15,682,326,7,7,292,4,1,7,22,1
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",50,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:39",1475,1461,2,9,3,491,479,0,9,3,464,27,1600,1109,18,5,261,2,2,153,17,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",49,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:56",1459,1450,3,6,0,581,575,0,6,0,566,15,1600,1019,9,5,290,1,0,218,41,2
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",47,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:33:10",1380,1364,4,9,3,496,484,1,9,2,472,24,1500,1004,10,7,226,1,2,195,29,2
