precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA USR PLUS-voturi","PRO CARAȘ-SEVERIN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",36,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:20:04",1060,1051,0,9,0,275,266,0,9,0,258,17,1187,907,19,158,13,32,12,13,11
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",35,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:54:37",1058,1048,2,8,0,268,260,0,8,0,260,8,1159,891,17,145,19,48,12,16,3
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",34,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:06:12",1327,1313,1,13,0,292,279,0,13,0,282,10,1536,1244,16,178,20,39,8,14,7
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",33,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:10:57",938,927,0,11,0,213,202,0,11,0,196,17,1019,806,9,133,10,14,13,13,4
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”TRAIAN VUIA”",32,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:12:32",1302,1290,0,12,0,242,230,0,12,0,232,10,1420,1178,14,146,10,31,4,20,7
11,CARAŞ-SEVERIN,"MUZEUL DE ETNOGRAFIE ȘI AL REGIMENTULUI DE GRANIȚĂ",73,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:00:17",1458,1434,0,23,1,631,607,0,23,1,603,28,1582,951,64,231,67,184,23,24,10
11,CARAŞ-SEVERIN,"OCOLUL SILVIC",362,ZĂVOI,54617,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:45:35",77,59,1,17,0,47,30,0,17,0,45,2,67,20,5,28,5,5,0,1,1
11,CARAŞ-SEVERIN,"OCOLUL SILVIC ”BANATUL MONTAN” REGIE AUTONOMĂ",3,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:19:06",1087,1077,0,10,0,259,249,0,10,0,247,12,1185,926,11,131,14,48,13,25,5
11,CARAŞ-SEVERIN,"OFICIUL PRIMĂRIEI RUSCA",339,TEREGOVA,54270,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:05:25",1011,953,0,21,37,669,611,0,21,37,618,51,1050,330,68,218,9,277,6,33,7
11,CARAŞ-SEVERIN,"PRIMĂRIA VECHE",284,NAIDĂŞ,53345,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:59:53",725,618,0,56,51,550,443,0,56,51,480,70,728,178,49,231,31,89,45,24,11
11,CARAŞ-SEVERIN,"PROTOPOPIAT ORTODOX ROMÂN",103,"ORAŞ BĂILE HERCULANE",50923,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:57",251,235,3,12,1,150,137,0,12,1,135,15,262,112,20,55,8,38,4,8,2
11,CARAŞ-SEVERIN,"SALA DE SPORT",356,VERMEŞ,54537,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:54:07",859,787,0,38,34,646,575,0,38,33,594,52,868,222,163,218,43,142,7,14,7
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",185,BREBU,51626,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:21:36",236,179,0,45,12,175,118,0,45,12,157,18,206,31,5,81,3,36,10,18,4
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",340,"TICVANIU MARE",54305,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:29:53",284,260,0,11,13,184,160,0,11,13,155,29,286,102,23,45,27,13,3,2,42
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",188,BUCHIN,51699,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:05:58",782,763,4,11,4,351,335,1,11,4,328,23,839,488,39,137,15,115,4,4,14
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",342,"TICVANIU MARE",54305,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:31:52",275,252,1,13,9,170,147,1,13,9,159,11,279,109,31,25,22,39,0,1,41
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",341,"TICVANIU MARE",54305,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:12:47",340,289,0,47,4,216,165,0,47,4,194,22,317,101,37,29,2,1,2,2,121
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",213,"CONSTANTIN DAICOVICIU",51877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:24",403,379,0,14,10,264,240,0,14,10,246,18,414,150,9,61,34,132,1,7,2
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",256,GORUIA,52954,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:04:22",138,128,0,6,4,78,68,0,6,4,68,10,139,61,41,12,0,10,0,3,2
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",211,"CONSTANTIN DAICOVICIU",51877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:07",340,316,1,15,8,215,191,1,15,8,197,18,348,133,16,88,9,78,3,1,2
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",212,"CONSTANTIN DAICOVICIU",51877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:26:50",212,199,1,9,3,157,145,0,9,3,135,22,216,59,13,51,5,63,1,0,2
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV - VALEAPAI",306,RAMNA,53639,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:26:49",350,317,0,29,4,238,205,0,29,4,221,17,358,120,6,82,12,24,2,93,2
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - VIII",209,"CONSTANTIN DAICOVICIU",51877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:38",423,402,0,18,3,266,245,0,18,3,245,21,444,178,29,68,0,135,8,4,1
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - VIII",210,"CONSTANTIN DAICOVICIU",51877,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:43:50",486,449,2,15,20,321,284,2,15,20,284,37,486,165,20,72,27,147,7,5,6
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ",277,MEHADIA,53274,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:11:36",195,189,0,6,0,120,114,0,6,0,113,7,215,95,4,66,6,31,1,1,4
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ",278,MEHADIA,53274,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:28:30",667,635,2,22,8,400,370,0,22,8,360,40,702,302,21,181,24,104,2,3,25
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ",279,MEHADIA,53274,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:55",560,541,1,8,10,367,349,0,8,10,347,20,596,229,38,138,32,106,2,4,27
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ",303,PRIGOR,53577,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:40:37",147,136,0,11,0,102,91,0,11,0,88,14,149,47,16,28,3,19,3,1,18
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ CL. I-IV INELEȚ",227,CORNEREVA,52160,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:49:19",86,83,0,3,0,50,47,0,3,0,41,9,90,40,3,5,0,32,0,1,0
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ RUGINOSU",217,COPĂCELE,52062,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:24:08",108,93,0,10,5,88,73,0,10,5,83,5,105,14,9,46,1,23,2,2,0
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ ZORILE",218,COPĂCELE,52062,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:27",350,304,0,30,16,231,185,0,30,16,195,36,332,101,59,57,8,69,0,1,1
