precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANTA ELECTORALA PSD+ALDE DOLJ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”ELENA FARAGO” (FOSTA SCOALA GIMNAZIALA NR.34)",76,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:35",1476,1455,0,11,10,511,490,0,11,10,492,19,1700,1189,36,20,135,147,58,6,1,76,5,7,1
17,DOLJ,"ŞCOALA GIMNAZIALĂ ELIZA OPRAN",381,IŞALNIŢA,70094,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:37:59",1773,1680,2,21,70,1175,1084,0,21,70,1073,102,1900,725,30,62,394,505,18,8,0,30,17,7,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ELIZA OPRAN",382,IŞALNIŢA,70094,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:21:05",1825,1753,0,16,56,1275,1203,0,16,56,1188,87,2000,725,21,42,397,641,24,4,1,41,11,6,0
17,DOLJ,"ŞCOALA GIMNAZIALĂ FILIAŞI",216,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:56:38",1388,1354,0,11,23,748,716,0,11,21,673,75,1500,752,41,22,101,434,27,1,5,20,13,8,1
17,DOLJ,"SCOALA GIMNAZIALĂ FRATOŞTIŢA - CORP 1",218,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:35",1326,1316,0,10,0,684,674,0,10,0,584,100,1500,816,28,14,94,411,5,3,0,15,8,3,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ FRATOŞTITA - CORP 2",219,"ORAŞ FILIAŞI",70414,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:50",776,769,0,7,0,393,386,0,7,0,320,73,900,507,15,15,23,235,3,5,1,6,11,6,0
17,DOLJ,"ȘCOALA GIMNAZIALA ”GHEORGHE BIBESCU” (FOSTA NR. 36)",44,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:03:21",1517,1503,0,14,0,485,471,0,14,0,468,17,1700,1215,18,19,141,136,63,3,3,71,5,7,2
17,DOLJ,"ȘCOALA GIMNAZIALA ”GHEORGHE BIBESCU” (FOSTA NR. 36)",41,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:24",1340,1328,2,10,0,455,445,0,10,0,442,13,1500,1045,15,8,124,155,45,5,1,79,1,3,6
17,DOLJ,"ȘCOALA GIMNAZIALA ”GHEORGHE BIBESCU” (FOSTA NR. 36)",42,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:25",1616,1604,1,11,0,552,541,0,11,0,535,17,1800,1248,31,18,124,193,64,4,6,85,4,3,3
17,DOLJ,"ȘCOALA GIMNAZIALA ”GHEORGHE BIBESCU” (FOSTA NR. 36)",43,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:47:58",1691,1676,3,12,0,592,580,0,12,0,573,19,1900,1308,26,21,181,151,66,7,5,106,2,6,2
17,DOLJ,"ȘCOALA GIMNAZIALĂ „GHEORGHE JIENESCU”” RAST - SALA DE SPORT",462,RAST,73905,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:40:16",1653,1646,0,7,0,1077,1070,0,7,0,894,183,1800,723,20,94,356,306,8,5,1,76,15,11,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE ŢIŢEICA” (FOSTA NR. 21)",146,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:13",1465,1431,14,19,1,570,550,0,19,1,551,19,1500,930,33,10,169,163,40,5,6,114,5,2,4
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”GHEORGHE ŢIŢEICA” (FOSTA NR. 21)",147,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:43:37",1439,1420,3,16,0,543,527,0,16,0,514,29,1500,957,22,11,177,137,50,4,1,97,6,9,0
17,DOLJ,"ȘCOALA GIMNAZIALĂ GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:59",941,891,1,42,7,610,560,1,42,7,518,92,1000,390,49,14,221,158,40,7,0,11,13,5,0
17,DOLJ,"SCOALA GIMNAZIALA GIURGITA",365,GIURGIŢA,72533,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:51:42",963,944,0,19,0,633,614,0,19,0,540,93,1100,467,18,10,199,268,8,2,4,13,13,4,1
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”IOAN GRECESCU ” BRĂDEŞTI",262,BRĂDEŞTI,71055,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:42:22",1631,1581,3,39,8,874,827,0,39,8,777,97,1700,826,116,33,120,448,24,0,2,23,0,9,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ” (FOSTA NR.16)",72,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:49:38",1804,1797,0,7,0,575,568,0,7,0,529,46,2000,1425,19,23,92,164,160,5,1,38,17,8,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ” (FOSTA NR.16)",71,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:55:26",1848,1839,0,9,0,672,663,0,9,0,640,32,2100,1428,35,26,152,195,129,11,6,65,12,7,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ” (FOSTA NR.16)",70,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:23:45",1694,1682,2,9,1,592,580,2,9,1,542,45,1900,1310,39,18,124,165,121,11,3,42,7,11,1
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION GHE. PLEŞA”",228,ALMĂJ,70566,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:28:23",1136,1070,0,63,3,752,686,0,63,3,648,104,1200,448,20,11,321,199,24,3,3,53,5,6,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION ŢUCULESCU” (FOSTA NR. 14)",135,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:13:20",1927,1912,2,12,1,778,765,0,12,1,744,34,2100,1322,50,31,229,215,94,2,1,99,12,6,5
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”ION ŢUCULESCU” (FOSTA NR. 14)",134,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:08:44",1894,1875,1,16,2,707,689,0,16,2,673,9,2100,1411,30,35,225,203,76,7,5,71,6,11,4
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”LASCĂR CATARGIU” (FOSTA NR. 19)",55,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:03",1750,1742,1,7,0,619,612,0,7,0,584,5,2000,1411,33,13,157,201,102,5,1,64,4,4,0
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”LASCĂR CATARGIU” (FOSTA NR. 19)",54,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:08:47",1989,1979,1,9,0,669,660,0,9,0,612,10,2300,1678,32,16,129,253,88,7,2,68,12,3,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ ”LASCĂR CATARGIU” (FOSTA NR. 19)",57,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:03:04",1829,1816,0,13,0,643,630,0,13,0,613,30,2100,1457,29,11,170,211,92,6,0,83,5,4,2
