precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","""ALIANȚA PNL-USR CĂLĂRAȘI""-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi"
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1",97,CHISELET,101822,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:38:59",1344,1328,0,5,11,763,747,0,5,11,703,60,1473,710,73,160,443,1,11,5,1,2,7
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.1APROZI",68,"ORAŞ BUDEŞTI",101458,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:53:30",815,809,0,6,0,429,423,0,6,0,390,39,890,461,119,128,57,6,5,13,2,2,58
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1 BELCIUGATELE",84,BELCIUGATELE,101083,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:34:14",1354,1252,3,75,24,915,816,0,75,24,839,76,1320,405,16,299,483,0,13,7,3,2,16
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1, CORP A",105,CURCANI,102419,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:05:37",923,903,1,5,14,621,602,0,5,14,572,49,995,374,23,283,255,3,4,2,2,0,0
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1, CORP B",106,CURCANI,102419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:22:48",776,744,0,20,12,531,499,0,20,12,481,39,821,291,25,244,182,3,7,12,2,1,5
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR. 1, CORP C",107,CURCANI,102419,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:28:20",1283,1255,0,14,14,858,830,0,14,14,813,45,1385,527,30,530,223,7,10,10,1,0,2
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR.1 CUZA VODĂ",110,"CUZA VODĂ",93281,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:54:53",1744,1712,1,7,24,961,930,0,7,24,880,81,1800,839,126,318,303,33,49,25,4,6,16
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.1 DÎLGA GARĂ",119,"DOR MĂRUNT",93370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:17:23",1097,1055,0,26,16,685,643,0,26,16,638,47,1162,477,25,312,278,2,2,10,2,2,5
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NR.1 DOR MĂRUNT SAT",115,"DOR MĂRUNT",93370,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:20",1446,1381,0,45,20,942,877,0,45,20,847,95,1474,532,80,284,451,4,22,0,2,1,3
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 1 DOROBANȚU, CORP B",121,DOROBANŢU,93441,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:39:07",1224,1180,1,16,27,847,803,1,16,27,763,84,1253,406,26,233,457,3,10,12,1,2,19
