precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIA MARE-voturi","""ALIANȚA ÎMPREUNĂ PENTRU BOTOȘANI PARTIDUL VERDE-P.N.Ț.C.D.""-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","BĂLĂUCĂ MARIA-CRISTINA-voturi"
7,BOTOŞANI,"SCOALA PRIMARA NR. 4 HILISEU CLOSCA",269,HILIŞEU-HORIA,37672,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:39:04",514,509,0,5,0,244,239,0,5,0,224,20,560,316,12,14,162,0,25,3,3,0,1,3,1
7,BOTOŞANI,"SCOALA PRIMARA NR.4 JIJIA",149,ALBEŞTI,36131,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:26:01",506,499,0,7,0,209,202,0,7,0,193,16,552,343,19,16,42,10,79,4,2,1,17,2,1
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR. 4 LUPĂRIA",334,PRĂJENI,38580,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:40",601,594,0,7,0,371,364,0,7,0,327,44,646,275,3,25,188,1,91,5,1,0,12,0,1
7,BOTOŞANI,"SCOALA PRIMARA NR. 4 UNGUROAIA",211,CRISTEŞTI,36907,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:56",174,165,1,8,0,128,119,1,8,0,123,5,191,63,1,0,14,0,107,0,0,0,1,0,0
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR.5",205,COŢUŞCA,36809,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:01:18",445,431,0,14,0,233,219,0,14,0,208,25,474,241,9,22,116,3,51,0,1,1,3,1,1
7,BOTOŞANI,"SCOALA PRIMARA NR.5 MASCATENI",150,ALBEŞTI,36131,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:01:34",317,308,0,9,0,168,159,0,9,0,142,26,341,173,10,5,18,4,55,4,5,1,40,0,0
7,BOTOŞANI,"ŞCOALA PRIMARĂ NR. 5 MIHAI VITEAZU",392,UNGURENI,39417,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:44:52",393,391,0,2,0,205,203,0,2,0,190,15,433,228,8,21,53,1,93,2,4,0,0,8,0
7,BOTOŞANI,"SCOALA PRIMARA STANCA",142,"ORAŞ ŞTEFĂNEŞTI",39168,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:59:26",793,763,1,4,25,378,350,0,4,24,344,34,863,485,11,13,120,0,185,1,3,0,6,2,3
7,BOTOŞANI,"ŞCOALA PRIMARĂ TALPA",176,CÂNDEŞTI,39967,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:47",533,533,0,0,0,304,304,0,0,0,281,23,580,276,16,18,131,7,101,1,0,2,3,1,1
7,BOTOŞANI,"ŞCOALA PRIMARĂ VICTOR ISĂCEANU,CORP I",375,ŞENDRICENI,39122,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:58",871,864,0,4,3,368,361,0,4,3,338,30,949,581,20,24,217,13,43,7,3,1,5,3,2
7,BOTOŞANI,"SCOALA SADOVENI",296,MANOLEASA,37958,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:20",365,348,0,11,6,265,248,0,11,6,243,22,390,125,3,4,208,0,10,17,0,0,1,0,0
7,BOTOŞANI,"SCOALA SARATA",312,MIHĂLĂŞENI,38241,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:22",425,399,0,5,21,271,245,0,5,21,249,22,455,184,6,2,173,3,58,2,0,1,4,0,0
7,BOTOŞANI,"SCOALA SLOBOZIA",186,CORDĂRENI,36649,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:43:36",275,251,0,3,21,175,154,0,3,18,149,26,296,121,4,5,88,1,41,1,5,0,4,0,0
7,BOTOŞANI,"ȘCOALA STÎNCEȘTI",306,"MIHAI EMINESCU",38063,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:48",1366,1358,2,6,0,585,579,0,6,0,537,48,1493,908,12,77,83,12,318,6,5,4,7,5,8
7,BOTOŞANI,"ŞCOALA TAMBA",128,"ORAŞ FLĂMÂNZI",37280,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:10:51",1045,1021,0,7,17,545,521,0,7,17,515,30,1144,599,6,10,59,0,401,1,2,1,27,0,8
7,BOTOŞANI,"ŞCOALA TEIOASA",118,"ORAŞ DARABANI",35946,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:06:36",1152,1143,0,8,1,430,421,0,8,1,395,35,1262,832,14,13,133,8,198,9,5,1,13,1,0
7,BOTOŞANI,"ȘCOALA TIBERIU CRUDU CORP A",388,TUDORA,39391,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:07:48",1377,1348,0,11,18,631,602,0,11,18,602,29,1498,867,18,21,199,51,279,10,8,2,3,5,6
7,BOTOŞANI,"SCOALA VACULESTI, CORP A",399,VĂCULEŞTI,39612,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:27:56",892,844,0,14,34,563,515,0,14,34,521,42,979,416,30,47,256,28,120,2,3,0,27,6,2
7,BOTOŞANI,"SCOALA VLADENI",189,CORLĂTENI,36676,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:17:49",359,340,0,2,17,222,203,0,2,17,200,22,385,163,2,3,86,0,105,3,1,0,0,0,0
7,BOTOŞANI,"SCOALA ZAHORENI",297,MANOLEASA,37958,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:10:58",464,453,0,5,6,309,298,0,5,6,281,28,499,190,4,22,183,0,53,12,5,0,0,1,1
7,BOTOŞANI,"SCOALA ZAICESTI",162,BĂLUŞENI,36300,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:19:56",594,581,0,8,5,355,342,0,8,5,320,35,639,284,47,8,52,2,201,2,1,0,5,0,2
7,BOTOŞANI,"SCOALA ZOITANI",144,ADĂŞENI,40035,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:53:49",336,299,1,29,7,217,180,1,29,7,198,19,347,130,6,1,56,1,121,2,10,0,0,0,1
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV CUZA VODĂ",408,VIIŞOARA,39658,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:35",433,427,0,3,3,297,291,0,3,3,271,26,476,179,15,58,82,33,50,5,10,2,2,12,2
7,BOTOŞANI,"ŞCOLA CU CLASELE I-IV VIIŞOARA MICĂ",409,VIIŞOARA,39658,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:12:15",392,380,0,6,6,247,235,0,6,6,222,25,416,169,6,74,82,8,29,7,11,1,0,3,1
7,BOTOŞANI,"SCOLA PRIMARA NR. 3",165,BLÂNDEŞTI,39983,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:23",342,335,0,2,5,212,205,0,2,5,197,15,371,159,2,6,49,0,137,0,0,0,0,2,1
7,BOTOŞANI,"ŞCOLA PRIMARĂ VIŢCANI",177,CÂNDEŞTI,39967,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 13:13:34",275,264,2,8,1,172,163,0,8,1,161,11,291,119,9,12,71,2,60,1,0,1,3,2,0
7,BOTOŞANI,"SEDIUL PRIMARIEI COMUNEI GEORGE ENESCU",248,"GEORGE ENESCU",37397,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:14:11",556,543,0,8,5,355,342,0,8,5,323,32,595,240,3,38,170,14,91,2,3,0,2,0,0
7,BOTOŞANI,"SEDIUL PRIMĂRIEI DIN COMUNA DERSCA",226,DERSCA,37011,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:46:13",1369,1311,2,5,51,798,742,0,5,51,715,83,1498,700,68,55,301,15,226,8,7,0,31,4,0
7,BOTOŞANI,"SOALA PRIMARA NR. 2 RACOVĂŢ",331,POMÂRLA,38544,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:45",284,268,0,13,3,159,143,0,13,3,144,15,321,162,10,2,61,2,69,0,0,0,0,0,0
7,BOTOŞANI,"SPATIU SCOALA AGAFTON",217,CURTEŞTI,35759,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:13:36",228,218,1,9,0,120,111,0,9,0,108,12,238,118,5,8,81,2,8,0,0,1,1,0,2
