precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALINȚA PARTIDUL NAȚIONAL LIBERAL-UNIUNEA SALVAȚI ROMÂNIA-PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (PNL-USR-PLUS)-voturi","PARTIDUL VERDE-voturi"
4,BACĂU,"PRIMĂRIA BRUSTUROASA",284,BRUSTUROASA,21597,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:08:55",1281,1270,1,6,4,664,653,1,6,4,597,67,1400,736,322,28,101,15,23,11,7,88,2
4,BACĂU,"PRIMARIA COMUNEI PARAVA (SALA DE FESTIVITATI)",484,PARAVA,24034,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:47:57",743,725,0,10,8,389,371,0,10,8,341,48,800,411,136,24,29,9,7,7,4,123,2
4,BACĂU,"PRIMĂRIA COŢOFĂNEŞTI",318,COŢOFĂNEŞTI,22059,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:50:14",1001,994,0,4,3,619,612,0,4,3,525,94,1072,453,367,13,15,42,19,5,1,61,2
4,BACĂU,"PRIMĂRIA DĂRMĂNEȘTI",218,"ORAŞ DĂRMĂNEŞTI",22166,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:16:18",1303,1293,0,9,1,586,576,0,9,1,514,72,1400,814,162,69,19,17,20,4,7,215,1
4,BACĂU,"PRIMĂRIA FĂGET",359,GHIMEŞ-FĂGET,22718,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:41:11",1089,1076,0,13,0,610,597,0,13,0,422,188,1237,627,162,54,16,12,28,24,20,93,13
4,BACĂU,"PRIMĂRIA FILIPENI",342,FILIPENI,22488,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:03:31",651,504,0,120,27,483,336,0,120,27,439,44,594,111,248,13,55,6,10,8,6,89,4
4,BACĂU,"PRIMĂRIA GĂICEANA",351,GĂICEANA,22665,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:55:18",767,754,0,5,8,452,439,0,5,8,408,44,800,348,198,35,19,5,9,2,5,135,0
4,BACĂU,"PRIMĂRIA GURA VĂII",371,"GURA VĂII",20607,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:44",1248,1241,0,5,2,676,669,0,5,2,599,77,1400,724,288,27,35,40,11,7,6,183,2
4,BACĂU,"PRIMĂRIA HORGEŞTI",388,HORGEŞTI,22941,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:32",1387,1381,1,5,0,588,583,0,5,0,507,81,1400,812,265,18,27,34,22,7,0,131,3
4,BACĂU,"PRIMĂRIA HURUIEŞTI",392,HURUIEŞTI,23047,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:25",552,537,0,12,3,326,311,0,12,3,298,28,600,274,200,18,8,1,18,5,0,48,0
4,BACĂU,"PRIMĂRIA ORAŞ BUHUŞI",179,"ORAŞ BUHUŞI",20778,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:09:37",1760,1748,3,9,0,504,495,0,9,0,477,27,1966,1462,200,33,32,73,10,6,25,93,5
4,BACĂU,"PRIMĂRIA ORAȘULUI COMĂNEȘTI",199,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:03:14",1385,1378,1,6,0,492,486,0,6,0,467,25,1500,1008,166,38,14,20,20,9,19,176,5
4,BACĂU,"PRIMĂRIA PALANCA",481,PALANCA,23975,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:30",1250,1245,0,5,0,569,564,0,5,0,503,66,1400,831,260,34,36,6,13,6,6,141,1
4,BACĂU,"PRIMĂRIA PLOPANA",513,PLOPANA,24427,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:05:29",781,749,1,5,26,393,363,0,5,25,352,41,800,407,213,14,15,50,6,9,5,36,4
4,BACĂU,"PRIMĂRIA STĂNIŞEŞTI",580,STĂNIŞEŞTI,25521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:37",811,800,0,2,9,411,400,0,2,9,366,45,900,489,299,19,13,1,2,2,1,28,1
4,BACĂU,"PRIMĂRIA TĂTĂRĂŞTI",600,TĂTĂRĂŞTI,25745,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:35:12",386,380,1,5,0,202,196,1,5,0,192,10,400,198,123,3,32,7,2,0,1,22,2
4,BACĂU,"SALA DE CEREMONII",619,URECHEŞTI,26029,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 10:37:30",1372,1366,0,6,0,656,650,0,6,0,542,114,1435,779,172,31,61,23,30,31,8,180,6
4,BACĂU,"SALA DE FESTIVITĂŢI SATUL TARNIŢA",477,ONCEŞTI,23868,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:50:09",529,523,0,3,3,343,337,0,3,3,301,42,596,253,220,7,8,5,3,1,2,55,0
4,BACĂU,"SALA DE SPORT A LICEULUI SPIRU HARET",128,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:17:51",1239,1229,0,8,2,502,492,0,8,2,475,27,1400,898,146,49,38,27,14,7,15,171,8
4,BACĂU,"SALA SPORT POLIVALENTĂ",189,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:33",1782,1776,0,6,0,527,521,0,6,0,493,34,2000,1473,141,38,43,81,11,12,27,128,12
4,BACĂU,"ŞCOALA 1 SATUL SLOBOZIA",584,STĂNIŞEŞTI,25521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:10:40",757,749,0,4,4,313,305,0,4,4,273,40,800,487,177,17,14,3,11,4,3,44,0
4,BACĂU,"ŞCOALA ALEXANDRU SEVER",139,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:13:23",653,641,0,12,0,277,265,0,12,0,256,21,700,423,87,39,20,11,4,3,3,84,5
4,BACĂU,"ŞCOALA ALEXANDRU SEVER",140,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:05:16",1093,1079,1,7,6,469,456,0,7,6,405,64,1200,731,145,53,37,15,12,9,4,125,5
4,BACĂU,"ŞCOALA ALEXANDRU SEVER HANGANI",141,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:17:12",1148,1144,0,4,0,476,472,0,4,0,406,70,1200,724,116,46,24,31,4,11,1,167,6
4,BACĂU,"ŞCOALA ARINI",352,GĂICEANA,22665,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:43:55",987,973,3,5,6,488,474,3,5,6,403,85,1000,512,173,40,9,6,26,4,4,139,2
4,BACĂU,"SCOALA BENESTI",581,STĂNIŞEŞTI,25521,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:09:37",380,369,0,5,6,205,194,0,5,6,182,23,400,195,139,11,13,0,3,0,1,15,0
4,BACĂU,"SCOALA BIBIRESTI II",618,UNGURENI,25932,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:26",777,766,0,9,2,426,415,0,9,2,394,32,800,374,303,13,4,10,6,3,3,52,0
4,BACĂU,"ŞCOALA BLIDARI",298,CĂIUŢI,21757,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:18:59",603,592,2,6,3,286,276,1,6,3,248,38,600,314,165,17,11,32,6,1,0,15,1
4,BACĂU,"ŞCOALA BOIŞTEA",300,CĂIUŢI,21757,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:54:57",145,137,0,8,0,76,68,0,8,0,67,9,200,124,34,8,2,9,0,1,0,12,1
4,BACĂU,"ŞCOALA CAPĂTA",377,"GURA VĂII",20607,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:36:09",298,293,0,5,0,172,167,0,5,0,153,19,300,128,78,6,3,41,6,0,1,17,1
4,BACĂU,"SCOALA CIPRIAN PORUMBESCU",194,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:57:51",514,500,0,14,0,235,221,0,14,0,206,29,700,465,40,13,10,8,20,2,2,111,0
4,BACĂU,"ŞCOALA CIPRIAN PORUMBESCU",192,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:07:37",1264,1259,3,0,2,421,419,0,0,2,395,26,1400,979,139,27,14,13,15,8,8,166,5
4,BACĂU,"ȘCOALA CIPRIAN PORUMBESCU",193,"ORAŞ COMĂNEŞTI",20821,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:57:33",1315,1242,1,4,68,532,460,0,4,68,492,40,1402,870,180,22,16,15,15,6,11,218,9
4,BACĂU,"ŞCOALA CÎRLIGI",347,FILIPEŞTI,22576,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:34",928,915,1,11,1,522,509,1,11,1,461,61,1000,478,216,49,4,10,8,6,5,158,5
4,BACĂU,"ŞCOALA CL.I-VIII ITEŞTI",399,ITEŞTI,26379,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:18:34",747,718,0,20,9,476,447,0,20,9,408,68,794,316,101,25,5,82,28,7,5,152,3
4,BACĂU,"ŞCOALA CONSTANTIN MOSCU IZV.BERHECIULUI",402,"IZVORU BERHECIULUI",23127,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:33:59",685,658,0,15,12,410,383,0,15,12,339,71,695,285,126,14,92,3,5,8,2,88,1
4,BACĂU,"SCOALA COORDONATOARE LETEA VECHE",406,"LETEA VECHE",20359,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:26:15",1662,1641,2,13,6,845,824,2,13,6,795,50,1800,955,333,42,46,101,29,18,22,189,15
4,BACĂU,"ŞCOALA COORDONATOARE LETEA VECHE",405,"LETEA VECHE",20359,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:42:43",1458,1434,3,12,9,716,695,0,12,9,678,38,1534,818,322,40,31,94,25,10,25,121,10
4,BACĂU,"ŞCOALA COSTACHE NEGRI SATUL NEGRI",453,NEGRI,23644,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:25:11",1094,1076,3,4,11,504,489,0,4,11,434,70,1100,596,243,23,63,3,11,4,3,83,1
4,BACĂU,"ŞCOALA COSTACHI S.CIOCAN LĂLOAIA",203,"ORAŞ COMĂNEŞTI",20821,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:50:16",725,718,0,7,0,263,256,0,7,0,237,26,800,537,90,10,5,6,8,2,4,109,3
4,BACĂU,"ŞCOALA CU CLASELE I-IV BÎLCA",320,COŢOFĂNEŞTI,22059,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:32:55",584,581,0,3,0,315,312,0,3,0,291,24,600,285,203,7,10,19,7,1,2,42,0
