precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE-voturi",PSD-ALDE-PNȚCD-ADER-voturi
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PANSELUŢA”",277,"ORAŞ CERNAVODĂ",60776,5,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 21:25:22",1601,1593,1,6,1,693,686,0,6,1,657,35,1800,1108,130,27,292,1,31,30,28,5,23,9,3,78
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „VESELIEI”",319,"ORAŞ NĂVODARI",60507,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:37:40",1751,1735,0,11,5,734,718,0,11,5,670,62,1900,1168,63,129,127,2,79,22,65,5,23,17,9,129
14,CONSTANŢA,"GRĂDINIȚA DE COPII EFORIE SUD",288,"ORAŞ EFORIE",60455,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:35:16",1010,988,6,12,4,560,544,0,12,4,532,28,1105,545,22,39,238,1,8,6,49,3,43,17,0,106
14,CONSTANŢA,"GRĂDINIȚA DE COPII FURNICA",441,DUMBRĂVENI,63161,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:17:10",83,54,0,27,2,73,44,0,27,2,63,10,100,27,9,2,3,0,1,0,0,0,0,1,0,47
14,CONSTANŢA,"GRĂDINIŢA DOMINO",484,"MIHAIL KOGĂLNICEANU",62191,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:15:39",1295,1267,0,10,18,767,739,0,10,18,703,36,1400,660,39,48,423,1,3,10,12,1,15,3,2,146
14,CONSTANŢA,"GRĂDINIȚA ”FLORILOR”",426,CUMPĂNA,61620,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:24:20",1694,1682,0,9,3,893,881,0,9,3,830,63,1800,907,34,39,163,4,7,13,127,9,69,11,6,348
14,CONSTANŢA,"GRĂDINIȚA LUMINA",474,LUMINA,63152,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:32:42",1775,1763,0,7,5,820,808,0,7,5,737,83,1900,1080,113,48,213,4,6,66,84,4,29,14,11,145
14,CONSTANŢA,"GRĂDINIŢĂ NOUĂ",549,TUZLA,60721,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:53:50",1371,1359,0,7,5,781,769,0,7,5,717,55,1500,728,148,118,174,0,0,10,30,5,79,10,6,137
14,CONSTANŢA,"GRADINITA NR.1",240,"MUNICIPIUL MEDGIDIA",60847,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:03:01",851,838,1,12,0,279,267,0,12,0,261,18,900,621,16,22,124,3,0,5,27,4,12,3,2,43
14,CONSTANŢA,"GRĂDINIȚA NR.1",347,"ORAŞ TECHIRGHIOL",60534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:55:51",1719,1703,1,9,6,995,980,0,9,6,937,58,1898,903,37,223,432,3,5,25,52,3,55,16,3,83
14,CONSTANŢA,"GRĂDINIŢA NR.1 -BILINGVĂ ROMANO-TURCA",239,"MUNICIPIUL MEDGIDIA",60847,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:27",762,755,0,7,0,327,320,0,7,0,297,30,800,473,20,14,149,0,1,10,22,3,9,9,0,60
14,CONSTANŢA,"GRĂDINIȚA NR.2",348,"ORAŞ TECHIRGHIOL",60534,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 08:45:18",1955,1928,1,21,5,1149,1123,0,21,5,1070,79,2104,955,58,298,396,1,9,31,65,4,85,11,4,108
14,CONSTANŢA,"GRĂDINIȚA NR.3",219,"MUNICIPIUL MANGALIA",60482,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:48:40",1603,1591,0,12,0,751,739,0,12,0,697,54,1800,1049,69,48,218,1,12,15,48,8,76,14,5,183
14,CONSTANŢA,"GRĂDINIȚA NR. 4",225,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:16:19",1278,1253,2,20,3,722,699,0,20,3,664,58,1400,678,51,46,283,4,3,21,42,4,76,11,3,120
14,CONSTANŢA,"GRADINITA NR. 5 NEPTUN",236,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:04:31",1351,1331,6,14,0,621,607,0,14,0,581,40,1500,879,49,39,244,0,4,13,32,4,38,14,4,140
