precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ROMÂNIEI EUROPENE-voturi","ALIANȚA PNL-UDMR-PNȚCD-voturi","PARTIDUL FORTA NATIONALA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"ŞCOALA GENERALĂ NUCŞOARA",462,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:16:03",249,223,3,18,5,193,168,2,18,5,183,10,260,67,2,0,24,0,2,2,1,10,7,3,47,85
22,HUNEDOARA,"ŞCOALA GENERALĂ OHABA DE SUB PIATRĂ",458,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:09:03",175,163,1,11,0,117,106,0,11,0,116,1,180,63,1,1,10,0,2,3,1,20,3,3,31,41
22,HUNEDOARA,"ŞCOALA GENERALĂ PAROŞ",461,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:17",287,259,0,26,2,240,212,0,26,2,226,14,344,104,0,1,32,1,0,2,1,7,2,8,93,79
22,HUNEDOARA,"ŞCOALA GENERALĂ RÂU ALB",459,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:09:32",164,158,0,6,0,111,105,0,6,0,110,1,180,69,1,1,22,0,1,2,2,6,1,14,10,50
22,HUNEDOARA,"ŞCOALA GENERALĂ RÂU MIC",465,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:04:39",150,141,0,7,2,118,109,0,7,2,111,7,160,42,1,0,41,0,0,3,0,6,3,13,13,31
22,HUNEDOARA,"ŞCOALA GENERALĂ RÎU DE MORI",436,"RÂU DE MORI",90878,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:43:26",893,847,0,32,14,628,582,0,32,14,541,87,948,320,6,6,120,1,20,24,12,32,26,30,29,235
22,HUNEDOARA,"ŞCOALA GENERALĂ SĂLAŞU DE JOS",457,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:12",204,191,0,12,1,152,139,0,12,1,148,4,220,68,0,0,17,1,1,3,0,4,3,7,47,65
22,HUNEDOARA,"SCOALA GENERALA SIMERIA VECHE",245,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:48:25",350,341,2,7,0,164,157,0,7,0,155,9,520,356,2,0,29,1,11,2,7,5,11,3,28,56
22,HUNEDOARA,"SCOALA GENERALA SÎNTANDREI",247,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:38:30",938,924,3,8,3,415,404,0,8,3,391,24,1020,605,6,5,70,1,17,1,7,18,17,13,53,183
22,HUNEDOARA,"ȘCOALA GENERALĂ ŢĂRĂŢEL",58,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:47:21",590,580,1,6,3,267,258,0,6,3,258,9,728,461,3,3,31,1,5,3,35,17,36,12,21,91
22,HUNEDOARA,"ŞCOALA GENERALĂ VALEA BRADULUI",57,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:12:01",621,616,0,5,0,267,262,0,5,0,257,10,705,438,2,1,25,10,6,8,31,7,23,12,17,115
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",189,"ORAŞ CĂLAN",87424,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:25:29",1101,1079,0,12,10,460,438,0,12,10,442,18,1230,770,12,0,83,0,20,6,14,21,31,42,22,191
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",190,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:07:49",1477,1451,1,14,11,570,545,0,14,11,526,44,1600,1030,7,4,122,3,27,7,18,32,27,35,28,216
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",6,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:55:24",1257,1246,4,7,0,432,425,0,7,0,416,16,1492,1060,10,27,117,5,31,13,29,17,34,18,19,96
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",7,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:57:11",1405,1391,4,10,0,491,481,0,10,0,464,27,1600,1109,17,46,124,3,42,20,25,22,47,19,16,83
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",5,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:37:26",1329,1316,4,9,0,454,445,0,9,0,441,13,1500,1046,18,32,112,0,36,14,24,13,48,13,27,104
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”",4,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:08:47",1341,1330,3,8,0,482,474,0,8,0,454,28,1600,1118,13,28,143,5,25,11,21,22,44,30,18,94
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA”CORPUL DE CLĂDIRE A",8,"MUNICIPIUL DEVA",86687,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:53:09",1357,1339,9,8,1,468,459,0,8,1,448,20,1600,1132,9,53,113,5,29,11,31,16,39,20,21,101
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ ”ARON DENSUȘIANU”, HAȚEG",216,"ORAŞ HAŢEG",87576,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:54:55",1623,1603,0,20,0,826,806,0,20,0,787,38,1813,988,1,4,130,12,7,76,15,70,56,26,157,233
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU” BAIA DE CRIŞ",253,"BAIA DE CRIŞ",87745,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:55:32",641,607,2,24,8,369,335,2,24,8,353,16,692,323,3,1,68,2,10,2,13,15,36,12,29,162
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ AVRAM STANCA (ȘCOALA GENERALĂ NR.4)",146,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:38:11",1697,1678,3,15,1,658,642,0,15,1,632,26,1850,1192,8,10,138,2,10,19,36,19,68,25,65,232
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ AVRAM STANCA (ȘCOALA GENERALĂ NR.4)",145,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:49",1039,1026,1,12,0,383,371,0,12,0,363,20,1175,792,3,1,105,1,6,3,23,14,28,23,33,123
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ BĂIEŞTI (CORP CLS. I-IV)",418,PUI,90538,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:52:54",185,168,0,11,6,137,120,0,11,6,128,9,205,68,1,3,30,1,3,3,4,7,15,10,14,37
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ BRETEA ROMÂNĂ",303,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:39:00",230,216,1,11,2,158,144,1,11,2,152,6,252,94,1,0,30,0,1,4,5,5,4,9,6,87
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ CARMEN SYLVA (ȘCOALA GENERALĂ NR.6)",154,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:37",1587,1578,1,8,0,449,441,0,8,0,419,30,1800,1351,5,2,70,4,11,8,28,19,12,15,52,193
