precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL PRO ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA USR PLUS-voturi"
15,COVASNA,"ŞCOALA PRIMARĂ ”BERDE MOZSA” SÎNTIONLUNCA",172,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:59",614,579,4,8,23,239,208,0,8,23,223,16,670,431,5,4,4,1,187,12,2,7,1
15,COVASNA,"ŞCOALA PRIMARĂ BITA",181,RECI,64773,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:50:08",230,223,2,4,1,101,96,0,4,1,95,6,300,199,2,0,3,0,82,2,0,6,0
15,COVASNA,"ŞCOALA PRIMARĂ ”BODA-POPOVICI” DOBOLII DE JOS",155,ILIENI,64425,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:42:41",436,417,2,4,13,208,191,0,4,13,190,18,479,271,4,10,3,3,111,23,4,28,4
15,COVASNA,"ŞCOALA PRIMARĂ BOROŞNEU MIC",108,"BOROŞNEU MARE",63937,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:46:15",374,358,0,11,5,234,218,0,11,5,215,19,400,166,5,4,67,0,133,4,1,1,0
15,COVASNA,"ȘCOALA PRIMARĂ ”BUDAI JÓZSEF” BODOȘ",67,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:16:41",362,354,0,8,0,179,171,0,8,0,161,18,400,221,2,1,2,1,126,1,0,26,2
15,COVASNA,"ŞCOALA PRIMARĂ ”DR. BEDŐ ALBERT” CALNIC",198,"VALEA CRIŞULUI",64906,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:18:58",442,433,1,1,7,303,295,0,1,7,293,10,504,201,5,4,0,2,244,4,0,32,2
15,COVASNA,"ŞCOALA PRIMARĂ ”GEORGE COŞBUC” ZAGON",207,ZAGON,65011,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:57:16",1525,1509,0,3,13,869,853,0,3,13,671,198,1600,731,24,109,84,38,79,286,46,1,4
15,COVASNA,"ŞCOALA PRIMARĂ HARALE",146,GHELINŢA,64318,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:09:23",206,193,0,5,8,127,114,0,5,8,101,13,302,188,0,2,0,3,84,1,0,11,0
15,COVASNA,"ŞCOALA PRIMARĂ HETEA",203,VÂLCELE,64942,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:20",270,263,0,6,1,141,134,0,6,1,88,53,300,159,8,8,2,6,48,7,9,0,0
15,COVASNA,"ȘCOALA PRIMARĂ ” HORVÁTH KÁROLY” TELECHIA",113,BRATEŞ,64005,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:37:29",458,449,2,2,5,170,163,0,2,5,156,14,503,333,2,0,1,0,151,0,1,0,1
15,COVASNA,"SCOALA PRIMARA IMENI",124,CATALINA,64130,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:37:33",248,245,0,3,0,103,100,0,3,0,93,10,299,196,8,2,1,0,71,0,2,8,1
