precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ COALIȚIA PENTRU MARAMUREȘ CMM-voturi","ALIANȚA USR PLUS-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL VERDE-voturi","PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","COVACI DENIS-MIHAI-voturi"
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",216,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:09:53",1644,1632,7,5,0,509,504,0,5,0,485,24,1800,1291,25,59,247,7,19,18,57,29,2,5,7,3,4,3
26,MARAMUREŞ,"LICEUL TEHNOLOGIC",217,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:29:22",1662,1653,3,6,0,426,420,0,6,0,407,19,1800,1374,9,56,231,4,7,19,33,11,3,5,20,6,3,0
26,MARAMUREŞ,"LICEUL TEHNOLOGIC AGRICOL „ALEXIU BERINDE”, ŞCOALA GENERALĂ SEINI",160,"ORAŞ SEINI",108963,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:02:30",1927,1868,2,33,24,1003,946,0,33,24,972,31,2100,1097,9,40,249,2,121,177,294,19,4,8,27,8,6,8
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",104,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 12:00:45",900,882,3,8,7,293,278,0,8,7,283,10,1000,707,5,19,82,2,16,19,87,31,4,4,3,2,5,4
26,MARAMUREŞ,"LICEUL TEHNOLOGIC FORESTIER",105,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:31:17",1103,1093,2,8,0,390,381,1,8,0,375,15,1200,810,10,28,117,5,36,26,76,31,1,5,20,10,7,3
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",219,"ORAŞ VIŞEU DE SUS",106979,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:21:38",947,943,1,3,0,388,385,0,3,0,335,53,1000,612,15,46,169,5,7,4,58,3,2,4,13,3,6,0
26,MARAMUREŞ,"LICEUL TEHNOLOGIC NR. 4",218,"ORAŞ VIŞEU DE SUS",106979,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:58",1052,1046,0,6,0,340,334,0,6,0,313,27,1200,860,6,38,200,3,5,1,32,7,3,2,10,3,2,1
26,MARAMUREŞ,"LICEUL TEHNOLOGIC POIENILE DE SUB MUNTE",355,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:54",1111,1101,1,9,0,496,487,0,9,0,427,69,1200,704,68,14,84,13,78,5,70,50,9,3,24,2,2,5
26,MARAMUREŞ,"LICEUL TEHNOLOGIC POIENILE DE SUB MUNTE",354,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:18:44",1124,1120,1,3,0,542,538,1,3,0,470,72,1200,658,87,13,49,3,92,10,103,65,8,0,27,9,4,0
26,MARAMUREŞ,"LICEUL TEHNOLOGIC POIENILE DE SUB MUNTE",356,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:28:58",1641,1641,0,0,0,703,703,0,0,0,573,129,1800,1098,86,21,104,4,112,14,81,59,18,4,50,7,7,6
26,MARAMUREŞ,"LICEUL TEHNOLOGIC POIENILE DE SUB MUNTE ȘCOALA NEJNEI CRAI",357,"POIENILE DE SUB MUNTE",108473,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:00:17",1406,1404,1,1,0,642,640,1,1,0,558,84,1600,958,74,21,77,5,163,10,104,46,11,0,38,3,6,0
26,MARAMUREŞ,"LICEUL TEHNOLOGIC „TRAIAN VUIA”",179,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 20:22:58",1123,1105,0,13,5,627,609,0,13,5,608,18,1200,573,4,21,218,5,55,37,119,55,13,13,13,36,13,6
26,MARAMUREŞ,"LICEUL TEORETIC BOGDAN VODĂ",215,"ORAŞ VIŞEU DE SUS",106979,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:36:21",923,922,0,1,0,298,297,0,1,0,275,23,1000,702,5,38,136,3,10,4,46,13,2,2,10,3,3,0
