precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA PENTRU BISTRIȚA-NĂSĂUD-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU MIHALACHE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL VERDE-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","POP ZAHARIE-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ TIHA BÎRGĂULUI",296,"TIHA BÂRGĂULUI",35090,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:37:07",1339,1327,0,2,10,718,706,0,2,10,636,82,1500,782,41,372,141,12,15,3,5,28,4,11,4
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ TUREAC",298,"TIHA BÂRGĂULUI",35090,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:22:28",1582,1563,3,6,10,782,766,0,6,10,664,118,1747,965,45,259,279,5,13,15,14,14,10,3,7
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ TUREAC",297,"TIHA BÂRGĂULUI",35090,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:32:33",552,532,0,11,9,311,291,0,11,9,231,80,598,287,11,101,84,6,3,6,3,7,1,4,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ” VALEA SPINULUI”",74,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:43:55",1010,1000,0,7,3,573,563,0,7,3,504,69,1110,537,38,240,141,3,50,9,5,8,4,3,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”VICTOR MOTOGNA” BREAZA",197,NEGRILEŞTI,179659,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:58:35",808,769,0,11,28,564,525,0,11,28,529,35,885,321,42,260,144,12,28,2,4,34,2,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ APATIU",108,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:02",252,249,0,3,0,143,140,0,3,0,124,19,280,137,16,40,47,7,4,1,4,3,1,0,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ BUDEŞTI-FÎNAŢE",97,BUDEŞTI,32768,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:56:23",243,241,0,2,0,162,160,0,2,0,147,15,270,108,16,55,47,7,2,1,3,14,0,1,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ CHEŢIU",111,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:25:59",272,264,0,1,7,167,159,0,1,7,154,13,300,133,15,40,84,5,0,2,3,5,0,0,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ CLASELE I-IV ŞIEU-SFÎNTU (FOSTUL SEDIU)",277,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:18:49",399,384,0,6,9,289,274,0,6,9,271,18,432,143,14,156,45,40,8,2,0,5,1,0,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ CUŞMA",164,LIVEZILE,33541,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:52",556,524,1,14,17,341,310,0,14,17,311,30,580,239,16,244,30,5,7,0,2,4,0,2,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ”DIMITRIE COJOCARU” SLĂTINIŢA",52,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:26:06",642,629,1,12,0,272,260,0,12,0,252,20,692,420,72,44,83,5,7,8,7,6,15,2,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ DOBRICEL",248,SPERMEZEU,34547,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 09:22:34",434,419,0,2,13,265,250,0,2,13,230,35,470,205,20,39,154,8,0,7,1,0,0,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ DOMNEŞTI",183,MĂRIŞELU,33765,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:56:03",739,726,3,6,4,383,371,2,6,4,354,29,755,372,90,186,56,2,4,3,2,8,1,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ DUMBRAVA",166,LIVEZILE,33541,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:40",339,333,0,6,0,211,205,0,6,0,193,18,365,154,40,108,26,3,2,3,0,8,2,1,0
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PRIMARĂ FIGA",67,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:17:48",435,404,0,13,18,286,255,0,13,18,251,35,465,179,14,164,47,1,7,4,4,7,1,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ FÎNTÎNELE",178,MATEI,33658,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:03:37",496,469,1,7,19,321,295,0,7,19,282,39,518,197,24,148,74,5,3,6,2,8,4,6,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ FLOREŞTI",205,NIMIGEA,33989,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:25:11",414,405,0,9,0,240,231,0,9,0,202,38,440,200,20,108,54,3,3,2,5,1,1,4,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ HĂLMĂSĂU",246,SPERMEZEU,34547,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:46:40",228,214,0,5,9,143,129,0,5,9,124,19,250,107,7,10,98,1,1,3,0,0,2,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ”LUCIAN VALEA”",251,ŞANŢ,34618,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:02",272,258,0,9,5,220,206,0,9,5,196,24,290,70,22,82,51,13,7,9,0,4,7,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ LUNCA",271,ŞIEUŢ,34850,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:06",329,315,0,4,10,237,223,0,4,10,203,34,350,113,60,58,47,3,6,3,0,22,2,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MALIN",209,NUŞENI,34075,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 15:08:01",361,326,4,10,21,259,225,3,10,21,233,26,380,121,7,83,128,2,4,1,0,2,3,2,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MANIC",114,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:12",194,189,0,4,1,142,137,0,4,1,133,9,215,73,2,36,78,8,2,3,1,1,1,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MINTIU",202,NIMIGEA,33989,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:06:36",359,346,0,7,6,175,162,0,7,6,159,16,390,215,17,97,34,1,1,4,1,2,1,1,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MOGOŞENI",204,NIMIGEA,33989,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:01:27",303,293,0,7,3,176,166,0,7,3,164,12,327,151,52,63,32,4,3,2,0,6,0,1,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MORUŢ",179,MATEI,33658,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:50:41",162,148,0,7,7,105,91,0,7,7,86,19,175,70,10,36,29,1,0,2,2,2,2,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ”NICOLAE BĂLAN” BLĂJENII DE SUS",276,ŞINTEREAG,34903,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:11:44",314,308,0,6,0,174,168,0,6,0,149,25,345,171,13,48,65,4,1,2,0,10,2,4,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ NIMIGEA DE SUS",201,NIMIGEA,33989,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:03:03",465,452,1,2,10,265,253,0,2,10,254,11,520,255,18,114,92,9,7,2,0,10,0,2,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ PIATRA",119,CHIUZA,33122,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:59:47",422,405,0,9,8,254,237,0,9,8,228,26,450,196,36,89,45,6,11,5,3,29,1,2,1
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ PODEREI",136,FELDRU,33248,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:51:55",386,375,0,11,0,176,165,0,11,0,148,28,415,239,15,73,43,0,3,0,0,9,0,3,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ POSMUŞ",254,ŞIEU,34645,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:48:56",552,544,2,6,0,295,289,0,6,0,260,35,595,300,14,127,63,7,24,6,3,7,1,4,4
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ PRUNDU BÎRGĂULUI",218,"PRUNDU BÂRGĂULUI",34235,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:10:58",1181,1161,7,5,8,585,571,1,5,8,550,35,1320,735,42,365,90,4,14,7,2,15,1,7,3
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PRIMARĂ PRUNDU BÎRGĂULUI",219,"PRUNDU BÂRGĂULUI",34235,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:40:00",1391,1376,0,8,7,733,718,0,8,7,697,36,1505,772,94,421,105,9,13,11,5,33,4,2,0
