precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ALIANȚA U.S.R. PLUS-voturi"
39,VASLUI,"SALA CULTURALĂ MÎNZĂTEȘTI",368,MĂLUŞTENI,164829,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-30 20:07:33",306,268,0,28,10,221,183,0,28,10,207,14,325,104,22,25,154,2,3,1
39,VASLUI,"SALA DE EDUCAŢIE FIZICĂ ŞCOLARĂ GHERMĂNEŞTI",283,DRÂNCENI,163618,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:46:19",1676,1627,0,13,36,884,839,0,13,32,819,65,1800,916,36,366,270,39,79,29
39,VASLUI,"SALA DE EDUCAŢIE FIZICĂ ŞCOLARĂ MUNTENII DE JOS",373,"MUNTENII DE JOS",164936,4,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 12:37:21",1842,1827,0,9,6,900,885,0,9,6,850,50,2000,1100,38,475,202,17,53,65
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",89,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:44:23",624,588,0,5,31,233,197,0,5,31,222,11,800,567,24,104,49,10,6,29
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",91,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:39",1211,1199,0,11,1,375,363,0,11,1,364,11,1400,1025,30,161,108,12,12,41
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",90,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:27:18",1253,1241,0,11,1,436,424,0,11,1,422,14,1400,964,36,170,116,6,16,78
39,VASLUI,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”EPISCOP IACOV ANTONOVICI”",92,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:59:20",1496,1478,0,16,2,485,467,0,16,2,469,16,1600,1115,42,189,140,9,75,14
39,VASLUI,"SALA FESTIVITĂȚI LUPEȘTI",367,MĂLUŞTENI,164829,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:40:19",351,317,1,23,10,245,212,0,23,10,223,22,400,155,91,19,96,10,3,4
39,VASLUI,"SALA SPORTURILOR",45,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:52:21",1898,1892,0,6,0,277,271,0,6,0,267,10,2000,1723,13,93,77,10,17,57
39,VASLUI,"SALA SPORTURILOR",43,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:06:36",1530,1524,1,5,0,408,403,0,5,0,396,12,1600,1192,17,155,143,11,16,54
39,VASLUI,"SALA SPORTURILOR",44,"MUNICIPIUL VASLUI",161945,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:13:17",1847,1840,1,6,0,147,141,0,6,0,144,3,2000,1853,7,57,41,5,8,26
39,VASLUI,"”SALA TINERETULUI”",404,POGONEŞTI,167259,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:15:40",181,153,0,21,7,146,119,0,21,6,128,18,200,54,45,19,15,39,6,4
39,VASLUI,"ŞCOALA BROŞTENI",341,IVĂNEŞTI,164393,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:12:10",481,466,0,8,7,203,188,0,8,7,176,27,500,297,10,33,93,10,9,21
39,VASLUI,"ȘCOALA BUMBĂTA",503,VETRIŞOAIA,166672,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:57:58",103,97,0,6,0,59,53,0,6,0,52,7,100,41,2,39,5,4,1,1
39,VASLUI,"ŞCOALA CENTRU ȚUȚCANI",364,MĂLUŞTENI,164829,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:31:44",448,407,1,29,11,306,266,0,29,11,287,19,400,94,53,31,181,3,8,11
39,VASLUI,"ŞCOALA CIORTOLOM",495,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:23:58",150,143,0,7,0,78,71,0,7,0,76,2,200,122,1,15,49,3,0,8
39,VASLUI,"ŞCOALA COROIU",496,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:53:35",173,166,0,7,0,80,73,0,7,0,75,5,200,120,4,26,37,2,1,5
39,VASLUI,"ŞCOALA COŞEȘTI",343,IVĂNEŞTI,164393,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:11:12",303,288,0,4,11,138,123,0,4,11,125,13,300,162,11,25,77,5,3,4
39,VASLUI,"ŞCOALA COȘEȘTI",342,IVĂNEŞTI,164393,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:29:45",286,265,0,2,19,104,83,0,2,19,89,15,300,196,16,15,38,7,8,5
39,VASLUI,"ŞCOALA DEZAFECTATA BUDEŞTI",254,CREŢEŞTI,163208,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:03:44",158,150,0,4,4,102,94,0,4,4,84,18,200,98,7,20,50,3,4,0
39,VASLUI,"ŞCOALA DEZAFECTATĂ CHIRCEŞTI -VALE",371,MICLEŞTI,164892,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 11:38:42",352,347,0,5,0,185,180,0,5,0,169,16,400,215,32,36,78,10,9,4
39,VASLUI,"ŞCOALA FRASINU",408,POIENEŞTI,165336,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:59:04",302,291,0,8,3,181,170,0,8,3,154,27,301,120,2,21,120,3,4,4
39,VASLUI,"ŞCOALA FUNDU VĂII",410,POIENEŞTI,165336,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:36:13",75,60,0,15,0,55,40,0,15,0,50,5,100,45,4,7,32,2,4,1
39,VASLUI,"ȘCOALA GENERALĂ GHERGHELEU",236,CODĂEŞTI,163002,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:34:11",320,313,0,6,1,156,149,0,6,1,128,28,400,244,6,92,12,1,1,16
39,VASLUI,"ŞCOALA GENERALA NR. 7 ”CĂPITAN GRIGORE IGNAT”",82,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:28:44",840,834,1,5,0,301,296,0,5,0,288,13,1000,699,22,139,69,13,11,34
39,VASLUI,"ŞCOALA GENERALA NR. 7 ”CĂPITAN GRIGORE IGNAT”",83,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:58:01",905,893,0,12,0,303,291,0,12,0,297,6,1000,697,19,160,67,11,11,29
39,VASLUI,"ŞCOALA GHIREASCA",366,MĂLUŞTENI,164829,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:43:00",115,88,0,21,6,115,88,0,21,6,106,9,200,85,65,1,32,5,3,0
