precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LOTREAN ELENA-voturi","PARTIDUL VERDE-voturi","BLOCUL UNITĂȚII NAȚIONALE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA USR PLUS-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.13",10,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:02:46",1037,1030,0,7,0,410,403,0,7,0,405,5,1200,790,12,12,0,1,7,0,48,20,13,3,5,6,126,152
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 13 CU STRUCTURA ŞCOALA GIMNAZIALĂ NR. 12",6,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 04:52:40",1774,1754,5,13,2,598,583,0,13,2,586,12,2000,1402,17,2,3,6,8,1,85,49,7,3,10,12,166,217
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 13 CU STRUCTURA ŞCOALA GIMNAZIALĂ NR. 12",7,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:50:15",1320,1309,3,8,0,471,463,0,8,0,460,11,1400,929,5,5,2,4,10,4,65,31,15,4,8,4,143,160
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 13 CU STRUCTURA ŞCOALA GIMNAZIALĂ NR. 12",8,"MUNICIPIUL SIBIU",143450,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:15:24",1532,1517,4,9,2,605,592,2,9,2,592,13,1700,1095,14,12,0,2,3,1,90,64,18,2,9,5,157,215
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.18",20,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:10:42",1690,1663,6,5,16,619,598,0,5,16,605,14,1800,1181,16,14,3,2,7,3,55,39,13,6,9,5,177,256
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.18",19,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:22:19",1778,1769,2,7,0,648,641,0,7,0,638,10,1800,1152,26,20,1,6,10,2,80,42,10,3,2,5,173,258
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.1 COPŞA MICĂ,STRADA ŞOSEAUA MEDIAŞULUI, NR.93",184,"ORAŞ COPŞA MICĂ",143771,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:39:02",1279,1254,1,22,2,487,463,0,22,2,450,37,1400,913,1,2,0,4,3,3,101,55,5,79,3,1,9,184
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.2",36,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:24:12",1157,1111,32,13,1,311,297,0,13,1,302,9,1400,1089,11,10,0,1,4,0,31,34,5,1,4,3,93,105
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 21",88,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:30:49",995,982,1,12,0,358,346,0,12,0,351,7,1000,642,9,2,0,0,5,0,66,46,9,3,5,5,82,119
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 21",86,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:03:36",1311,1300,4,7,0,421,414,0,7,0,414,7,1400,979,6,4,0,0,10,2,79,44,6,3,4,4,125,127
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 21",87,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:54:25",923,914,3,6,0,325,319,0,6,0,313,12,1000,675,7,9,0,3,2,1,45,29,4,1,4,2,96,110
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 21",89,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 23:30:06",1198,1192,1,5,0,336,331,0,5,0,330,6,1400,1064,10,2,0,4,8,1,45,29,6,0,6,9,93,117
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.23",14,"MUNICIPIUL SIBIU",143450,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-29 17:28:57",1464,1456,4,4,0,413,409,0,4,0,395,18,1600,1187,12,7,2,5,8,3,43,33,8,2,0,7,99,166
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.23",13,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:02:01",2010,1994,5,10,1,774,763,0,10,1,760,14,2200,1426,27,8,1,5,10,1,121,39,10,4,10,7,207,310
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.23",15,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:05:08",1387,1378,1,8,0,410,402,0,8,0,401,9,1600,1190,6,8,2,2,5,1,46,26,7,1,4,10,103,180
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 25",58,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 09:37:49",1322,1311,6,5,0,499,493,1,5,0,488,11,1400,901,10,7,1,4,5,0,79,33,12,0,3,5,138,191
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 25",57,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:33:32",1313,1299,5,9,0,482,473,0,9,0,475,7,1600,1118,10,11,0,1,9,2,67,61,8,4,7,6,105,184
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 25",56,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:04:14",1226,1213,2,11,0,440,429,0,11,0,430,10,1400,960,7,5,3,2,8,1,81,29,13,3,10,5,125,138
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 25",59,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 07:50:27",1610,1592,9,9,0,600,591,0,9,0,599,1,1800,1200,18,8,1,1,6,2,100,49,9,1,5,2,140,257
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 2 CISNĂDIE",176,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 03:27:25",1823,1809,5,7,2,691,682,0,7,2,665,26,2000,1309,9,13,28,9,20,5,90,61,9,1,15,34,90,281
34,SIBIU,"ȘCOALA GIMNAZIALĂ NR.2 SIBIU",35,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:49:39",1121,1066,7,8,40,407,366,0,8,33,406,1,1200,793,18,8,2,6,4,4,46,36,5,3,12,6,121,135
34,SIBIU,"ȘCOALA GIMNAZIALĂ NR.2 SIBIU",34,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-27 22:44:38",1315,1290,9,16,0,418,400,2,16,0,412,6,1400,982,15,9,2,2,8,2,73,41,16,3,4,2,117,118
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.3 CISNĂDIE",173,"ORAŞ CISNĂDIE",143735,3,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:48:14",1575,1553,0,20,2,569,547,0,20,2,545,24,1800,1231,14,13,6,3,25,2,63,37,11,2,12,24,84,249
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",68,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 05:17:13",1368,1351,8,9,0,496,486,1,9,0,492,4,1400,904,20,7,0,1,5,2,70,48,10,6,3,6,133,181
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",69,"MUNICIPIUL SIBIU",143450,2,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 06:23:46",1142,1129,4,9,0,424,414,1,9,0,420,4,1200,776,16,2,8,2,4,1,55,49,5,2,4,7,117,148
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",70,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 02:41:59",1454,1424,16,12,2,563,548,1,12,2,554,9,1600,1037,21,10,1,4,5,2,62,38,11,4,7,5,170,214
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",125,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 00:45:59",1211,1200,1,10,0,346,336,0,10,0,334,12,1300,954,0,3,0,3,4,2,56,48,2,12,5,6,28,165
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",126,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CJ,CJ_SV,"2020-09-28 01:08:02",1023,1011,1,10,1,351,340,0,10,1,338,13,1100,749,6,4,2,3,3,2,42,40,6,20,16,5,19,170
